,Ticker,Shares,Currency
1,SQ,1836.073599243782,USD
2,SHOP,1556.8130116848001,USD
3,SHOP.TO,1558.1767782191491,CAD
4,BMBL,3889.268238280284,USD
5,AMZN,186.59157165156927,USD
6,GOOG,198.093242709567,USD
7,AAPL,144.1303788660788,USD
8,SPG,226.58431875956595,USD
9,BK,578.2565814462283,USD
10,ORCL,235.5307376269195,USD
